user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count
20,3,JcrLgce29xTjfjMMn,0.029585799,5,169
20,4,qgDtsJanD6CfHqnjW,0.037914692,8,211
20,5,gXCzsm2WXxERkwkiR,0.021621622,4,185
20,6,kAFTzctPrFdvResJY,0.004854369,1,206
21,0,vsjMbALH7jZ63dmEx,0,0,40
21,1,ZrSN6FMqc56rmm3AQ,0,0,77
21,2,ZBmnoLmjK6JSqgdqe,0,0,141
21,3,junrY7YmMR4F2qoQ8,0,0,169
21,4,cDJM72HPD9zukSNFK,0,0,211
21,5,7X5xHpJeyLPHL3Wec,0,0,185
21,6,tWYdJi2XFHhjz9u5L,0,0,206
22,0,pm7LnyQ3vLGAGFGh4,0.025,1,40
22,1,9w9gBG4hihjwJTsKs,0.012987013,1,77
22,2,tLEhvGDyij4kSbMMK,0.021276596,3,141
22,3,zkwkTCm5L7qQJhcnk,0.041420118,7,169
22,4,QxqG3Jxgv24gLCztp,0.033175355,7,211
22,5,AGENAGdHJaE24PQxa,0.075675676,14,185
22,6,gqxSfgs87tJdyGRvQ,0.009708738,2,206
23,0,XAdmsNvMbnHJeWEsa,0,0,40
23,1,CB5mZdDHZdao7i99G,0.025974026,2,77
23,2,8Y7RCLcarnc5cs7yC,0.063829787,9,141
23,3,HFrHNGD2CjCTxcKSk,0.035502959,6,169
23,4,wLYPCtR5EopSxMtQp,0.014218009,3,211
23,5,xpCJdQoHRC5TwDqRd,0.021621622,4,185
23,6,sqwZZuzJD6raZD9N4,0.014563107,3,206
24,0,ewbugY4GzDbG25uSi,0,0,40
24,1,h637bHs2C8rubPWvL,0.012987013,1,77
24,2,uq3LeBJuWtQPSGngY,0.007092199,1,141
24,3,g9SuThsPXEZzHpEE8,0.023668639,4,169
24,4,uDcsATKczzmb7ghD4,0.018957346,4,211
24,5,JidgP9xsQ9ZpnnjJY,0.027027027,5,185
24,6,rBX2y5StxiKxFafCe,0.019417476,4,206
25,0,oAtgFe3Le3vuCARpa,0,0,40
25,1,6E88gb2actYPQAmWo,0.012987013,1,77
25,2,RoWdcjYiuCZ7uu6fF,0.028368794,4,141
25,3,6o2CFWEHeTpqQJMDa,0.01183432,2,169
25,4,KGSBjiPP7CetipZ2y,0.018957346,4,211
25,5,vp3zJDAswF9ZRezX4,0.027027027,5,185
25,6,MQ6BDkLFM5mJwbnLd,0.024271845,5,206
26,0,b9YjYL3RjdWogNpiG,0,0,40
26,1,xMGyqyh4vddggXjQm,0,0,77
26,2,t5ZQARZJLe28ECS9G,0,0,141
26,3,v244sDaqzvnj7L8Wu,0.00591716,1,169
26,4,7od4EbxKs7K8Lya4c,0.004739336,1,211
26,5,rLz5qdEBq2pBdDjiy,0.021621622,4,185
26,6,asxLDSgr73iZQiNLk,0,0,206
27,0,KpeBfoMZGMemFuycz,0,0,40
27,1,kMxyetnfhDHPz7TSc,0,0,77
27,2,pirBkk4ripBLMywjy,0,0,141
27,3,M6yk29Y88s6wCJBYz,0,0,169
27,4,TCnL8JMFH4pa5sN7x,0,0,211
27,5,2f52eH2Q6pwvDNxAp,0,0,185
27,6,w3QgHZ8w7zadLAdRv,0,0,206
28,0,feNmj7AyRtEtjZTAo,0,0,40
28,1,HBGztZro2Zto6TeTa,0,0,77
28,2,AqLbMfHDEC2JTP4hq,0,0,141
28,3,X39haEhjk3Pw9JYsS,0.00591716,1,169
28,4,RZj75i958chsyabzB,0.014218009,3,211
28,5,CFsvSixa6abrDcnvC,0.005405405,1,185
28,6,KvdiDGnkfoc3s2Cpm,0.004854369,1,206
29,0,WQGDrY9gbPpHcgPg8,0,0,40
29,1,SAwmNZeMLsDNM9CXx,0.012987013,1,77
29,2,MSCYMPfqPwr45S6kQ,0,0,141
29,3,c4rm7ks24NPyAdkuc,0.017751479,3,169
29,4,AoXEE59Cei996kb5Y,0.028436019,6,211
29,5,gT6wuuY58Xfeq3K2u,0.027027027,5,185
29,6,qSJA8wWR6QS4she6T,0.014563107,3,206
30,0,svcdkaC4LxBjLq76y,0,0,40
30,1,Ho6fQfnA9sk5kTvvL,0,0,77
