user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count,total_count,flesch_kincaid
25,2,RoWdcjYiuCZ7uu6fF,0.028368794326241134,4,141,21,61.22
25,3,6o2CFWEHeTpqQJMDa,0.011834319526627219,2,169,21,60.31
25,4,KGSBjiPP7CetipZ2y,0.018957345971563982,4,211,21,67.15
25,5,vp3zJDAswF9ZRezX4,0.02702702702702703,5,185,21,64.71
25,6,MQ6BDkLFM5mJwbnLd,0.024271844660194174,5,206,21,69.75
26,0,b9YjYL3RjdWogNpiG,0.0,0,40,6,124.4
26,1,xMGyqyh4vddggXjQm,0.0,0,77,6,89.75
26,2,t5ZQARZJLe28ECS9G,0.0,0,141,6,61.22
26,3,v244sDaqzvnj7L8Wu,0.005917159763313609,1,169,6,60.31
26,4,7od4EbxKs7K8Lya4c,0.004739336492890996,1,211,6,67.15
26,5,rLz5qdEBq2pBdDjiy,0.021621621621621623,4,185,6,64.71
26,6,asxLDSgr73iZQiNLk,0.0,0,206,6,69.75
27,0,KpeBfoMZGMemFuycz,0.0,0,40,0,124.4
27,1,kMxyetnfhDHPz7TSc,0.0,0,77,0,89.75
27,2,pirBkk4ripBLMywjy,0.0,0,141,0,61.22
27,3,M6yk29Y88s6wCJBYz,0.0,0,169,0,60.31
27,4,TCnL8JMFH4pa5sN7x,0.0,0,211,0,67.15
27,5,2f52eH2Q6pwvDNxAp,0.0,0,185,0,64.71
27,6,w3QgHZ8w7zadLAdRv,0.0,0,206,0,69.75
28,0,feNmj7AyRtEtjZTAo,0.0,0,40,6,124.4
28,1,HBGztZro2Zto6TeTa,0.0,0,77,6,89.75
28,2,AqLbMfHDEC2JTP4hq,0.0,0,141,6,61.22
28,3,X39haEhjk3Pw9JYsS,0.005917159763313609,1,169,6,60.31
28,4,RZj75i958chsyabzB,0.014218009478672985,3,211,6,67.15
28,5,CFsvSixa6abrDcnvC,0.005405405405405406,1,185,6,64.71
28,6,KvdiDGnkfoc3s2Cpm,0.0048543689320388345,1,206,6,69.75
29,0,WQGDrY9gbPpHcgPg8,0.0,0,40,18,124.4
29,1,SAwmNZeMLsDNM9CXx,0.012987012987012988,1,77,18,89.75
29,2,MSCYMPfqPwr45S6kQ,0.0,0,141,18,61.22
29,3,c4rm7ks24NPyAdkuc,0.01775147928994083,3,169,18,60.31
29,4,AoXEE59Cei996kb5Y,0.02843601895734597,6,211,18,67.15
29,5,gT6wuuY58Xfeq3K2u,0.02702702702702703,5,185,18,64.71
29,6,qSJA8wWR6QS4she6T,0.014563106796116505,3,206,18,69.75
30,0,svcdkaC4LxBjLq76y,0.0,0,40,0,124.4
30,1,Ho6fQfnA9sk5kTvvL,0.0,0,77,0,89.75
30,2,sQWZE7kKwxBwqdC7E,0.0,0,77,0,89.75
30,3,8ccRoj4tEab9skWhk,0.0,0,141,0,61.22
30,4,BkZbSsTBFYNn2YbC3,0.0,0,169,0,60.31
30,5,NvC4wbT8A8Lk2ebS8,0.0,0,211,0,67.15
30,6,LRgN3i33MwNPzojQP,0.0,0,185,0,64.71
31,0,aJeK599Dh5rXY9PE2,0.025,1,40,22,124.4
31,1,6x5oAEBef5vAqCt65,0.06493506493506493,5,77,22,89.75
31,2,qWkEhtgLLkvnFdsCD,0.014184397163120567,2,141,22,61.22
31,3,GZz7x5mNHEB9ZFBqz,0.0,0,169,22,60.31
31,4,aMPvWx2xhQi9RCZcZ,0.03317535545023697,7,211,22,67.15
31,5,Bo3oEWpHGBWN7jozG,0.0,0,185,22,64.71
31,6,Zb9KGZ4WLKbnH4Yom,0.03398058252427184,7,206,22,69.75
32,0,K5qhDADEreDgfFswS,0.0,0,40,0,124.4
32,1,cKhJfcvuZZkP6stNE,0.0,0,77,0,89.75
32,2,Wq69uGxgBbKmhKdXc,0.0,0,141,0,61.22
32,3,BAEPrgv6tPQswXafn,0.0,0,169,0,60.31
32,4,niXCRDYiYtrKk94fc,0.0,0,211,0,67.15
32,5,24tQijPLDEhQaW23r,0.0,0,185,0,64.71
32,6,uc7tzpo4vHbZjPDxD,0.0,0,206,0,69.75
33,0,Nf8SfEwthriRuGw9x,0.0,0,40,12,124.4
33,1,tYDuPiLWYC6gtwzpb,0.0,0,77,12,89.75
33,2,wcAEPmTcuMudQSnQJ,0.014184397163120567,2,141,12,61.22
33,3,Xh8QX7mj26EAZNYcz,0.005917159763313609,1,169,12,60.31
33,4,yhS5L328GSQWhNB3k,0.014218009478672985,3,211,12,67.15
33,5,CFRHWgN5mncHTWs52,0.02702702702702703,5,185,12,64.71
